"Centro_Gestor","Preferida","Dependencia","Gasto_Corriente","Gasto_Capital","Gasto_Total"
"Caja de Previsión para Trabajadores a Lista de Raya del Gobierno",0,0,"98%","23%","98%"
"Calidad de Vida, Progreso y Desarrollo para la Ciudad de México, S.A. de  C.V.",0,0,"93%","0%","93%"
"Centro de Atención a Emergencias y Protección Ciudadana",0,0,"65%","91%","73%"
"Consejo de Evaluación del Desarrollo Social",0,0,"90%","0%","90%"
"Consejo para Prevenir y Eliminar la Discriminación",0,0,"93%","89%","93%"
"Coordinación de los Centros de Transferencia Modal",0,0,"68%","0%","66%"
"Corporación Mexicana de Impresión, S.A. de C.V.",0,0,"75%","0%","75%"
"Delegación Álvaro Obregón",0,0,"85%","73%","78%"
"Delegación Azcapotzalco",0,0,"91%","70%","79%"
"Delegación Benito Juárez",0,0,"95%","71%","83%"
"Delegación Coyoacán",0,0,"84%","87%","85%"
"Delegación Cuajimalpa de Morelos",0,0,"95%","90%","93%"
"Delegación Cuauhtémoc",0,0,"87%","63%","75%"
"Delegación Gustavo A. Madero",0,0,"88%","82%","85%"
"Delegación Iztacalco",0,0,"92%","68%","82%"
"Delegación Iztapalapa",0,0,"89%","90%","89%"
"Delegación Magdalena Contreras",0,0,"93%","84%","88%"
"Delegación Miguel Hidalgo",0,0,"93%","78%","85%"
"Delegación Milpa Alta",0,0,"94%","86%","90%"
"Delegación Tláhuac",0,0,"92%","85%","88%"
"Delegación Tlalpan",0,0,"86%","65%","74%"
"Delegación Venustiano Carranza",0,0,"92%","82%","88%"
"Delegación Xochimilco",0,0,"92%","81%","86%"
"Escuela de Administración Pública",0,0,"80%","32%","79%"
"Fideicomiso Centro Histórico",0,0,"91%","42%","54%"
"Fideicomiso de Recuperación Crediticia",0,0,"84%","50%","84%"
"Fideicomiso del Fondo para el Desarrollo Económico y Social",0,0,"67%","0%","67%"
"Fideicomiso Educación Garantizada",0,0,"83%","5%","82%"
"Fideicomiso Fondo de Apoyo a la Procuración de Justicia",0,0,"13%","1%","4%"
"Fideicomiso Museo Arte Popular Mexicano",0,0,"64%","71%","64%"
"Fideicomiso Museo del Estanquillo",0,0,"98%","0%","98%"
"Fideicomiso para el Fondo de Promoción para el Finan. Transporte Público",0,0,"92%","0%","92%"
"Fideicomiso para la Promoción y Desarrollo del Cine Mexicano",0,0,"22%","0%","22%"
"Fondo Ambiental Público",0,0,"81%","27%","69%"
"Fondo de Desarrollo Económico",0,0,"73%","0%","73%"
"Fondo Mixto de Promoción Turística",0,0,"40%","0%","40%"
"Fondo para el Desarrollo Social",0,0,"79%","52%","79%"
"Fondo para la Atención y Apoyo a las Víctimas del Delito",0,0,"58%","0%","58%"
"Heroico Cuerpo de Bomberos",0,0,"98%","100%","98%"
"Instituto de Capacitación para el Trabajo",0,0,"79%","100%","81%"
"Instituto de Educación Media Superior",0,0,"89%","97%","89%"
"Instituto de Formación Profesional",0,0,"83%","0%","82%"
"Instituto de la Juventud",0,0,"97%","53%","96%"
"Instituto de las Mujeres",0,0,"87%","5%","84%"
"Instituto de Verificación Administrativa",0,0,"86%","100%","86%"
"Instituto de Vivienda",0,0,"72%","93%","73%"
"Instituto del Deporte",0,0,"58%","86%","64%"
"Instituto Local de la Infraestructura Física Educativa",0,0,"38%","31%","32%"
"Instituto para la Atención y Prevención de las Adicciones",0,0,"89%","92%","89%"
"Instituto para la Integración al Desarrollo de las Personas con Discapacidad",0,0,"90%","0%","90%"
"Instituto para la Seguridad de las Construcciones",0,0,"87%","0%","84%"
"Instituto Técnico de Formación Policial",0,0,"96%","0%","96%"
"Metrobús",0,0,"79%","6%","79%"
"Planta de Asfalto",0,0,"90%","61%","85%"
"Policía Auxiliar",0,0,"99%","1%","98%"
"Policía Bancaria e Industrial",0,0,"98%","83%","98%"
"Procuraduría Ambiental y del Ordenamiento Territorial",0,0,"91%","100%","92%"
"Procuraduría Social",0,0,"69%","0%","69%"
"Proyecto Metro",0,0,"94%","8%","63%"
"Red de Transporte de Pasajeros",0,0,"80%","55%","72%"
"Secretaría Ejecutiva del Mecanismo de Seguimiento… del Prog. de Der. Humanos",0,0,"97%","25%","96%"
"Servicio de Transportes Eléctricos",0,0,"87%","95%","88%"
"Servicios de Salud Pública",0,0,"88%","78%","88%"
"Servicios Metropolitanos, S.A. de C.V.",0,0,"71%","28%","71%"
"Sistema de Aguas de la Ciudad de México",0,0,"95%","47%","79%"
"Sistema de Radio y Televisión Digital del Gobierno",0,0,"88%","75%","87%"
"Sistema de Transporte Colectivo Metro",0,0,"75%","52%","70%"
"Sistema para el Desarrollo Integral de la Familia",0,0,"87%","0%","87%"
"Tesorería",0,0,"100%","0%","100%"
